chunk_index,target_chunk_size,chunk_size,entropy,byte_mean,byte_std,byte_min,byte_max,num_runs,run_mean,run_std,run_max,prop_zero,prop_ff,prop_ascii,prop_control,prop_newline,prop_space,prop_json_brace,prop_json_punct,prop_base64_charset,prop_hex_charset,prop_printable_non_ascii,lz4_size,lz4_time_ms,lz4_ratio,snappy_size,snappy_time_ms,snappy_ratio,zstd_size,zstd_time_ms,zstd_ratio
0,16777216,16777216,5.4520377982493775,91.37278658151627,34.869058851352754,9,240,15898410,1.0552763452445872,0.29668596910195716,100,0.0,0.0,0.9511228203773499,0.016005754470825195,0.015898466110229492,0.10863101482391357,0.04198116064071655,0.023307442665100098,0.7193011045455933,0.22434228658676147,0.03287142515182495,2427283,16.371526,0.14467734098434448,4725808,28.239986,0.2816801071166992,305850,10.741938,0.018230080604553223
1,16777216,16777216,5.16591758232725,91.20013630390167,30.81392103168112,10,239,16092219,1.0425669697883182,0.22302268131926886,8,0.0,0.0,0.9846251010894775,0.00846254825592041,0.00846254825592041,0.11467355489730835,0.020920753479003906,0.01578313112258911,0.7780073285102844,0.24126076698303223,0.006912350654602051,7390850,49.794843,0.4405289888381958,7689651,51.977879,0.4583389163017273,187651,8.321838,0.011184871196746826
2,16777216,16777216,5.156052290666704,91.12047058343887,31.0112991181327,10,240,16138549,1.0395740038339258,0.2189637018746663,8,0.0,0.0,0.9836405515670776,0.00897902250289917,0.00897902250289917,0.1192057728767395,0.0204429030418396,0.015656471252441406,0.7768540382385254,0.24204272031784058,0.007380425930023193,5862274,37.902809,0.3494187593460083,7301462,49.258047,0.4352010488510132,177292,8.260683,0.010567426681518555
3,16777216,16777216,5.109501753890103,90.85839051008224,30.466175213530825,10,240,16145684,1.0391146017722135,0.21217000114778342,8,0.0,0.0,0.9874451756477356,0.009405732154846191,0.009405732154846191,0.11828655004501343,0.018209457397460938,0.01476508378982544,0.7822218537330627,0.23718023300170898,0.003149092197418213,7515131,49.668928,0.4479367136955261,7775326,52.866384,0.4634455442428589,116809,6.634854,0.0069623589515686035
4,16777216,16777216,5.227327809385958,91.29125076532364,29.83099858962683,10,240,16121957,1.0406438870913748,0.22012345703472516,29,0.0,0.0,0.9879003167152405,0.0076711177825927734,0.0076711177825927734,0.09674465656280518,0.024278879165649414,0.014889121055603027,0.7839198112487793,0.24276238679885864,0.004428565502166748,5493678,36.167404,0.3274487257003784,6255492,41.195264,0.37285637855529785,185681,8.672195,0.011067450046539307
5,16777216,16777216,5.189018049358826,91.72461891174316,29.46674542632581,10,237,16152713,1.0386624216006315,0.21544916992785593,29,0.0,0.0,0.9895210266113281,0.006688416004180908,0.006688416004180908,0.09651637077331543,0.023202180862426758,0.014839410781860352,0.7910289168357849,0.24641424417495728,0.003790557384490967,6184364,40.626137,0.36861681938171387,6662598,43.811973,0.397121787071228,233147,9.424216,0.013896644115447998
6,16777216,16777216,5.231322663189698,90.8922289609909,30.10993957222548,9,237,16018649,1.0473552420057397,0.26299726356697845,29,0.0,0.0,0.9847760796546936,0.010703563690185547,0.010663151741027832,0.10315632820129395,0.033911824226379395,0.01448279619216919,0.7728001475334167,0.24391216039657593,0.00452035665512085,4980996,34.863058,0.2968904972076416,5967227,38.917603,0.3556744456291199,374847,12.83846,0.02234262228012085
7,16777216,16777216,5.28962032056823,90.83106297254562,32.781071173007454,10,237,15804437,1.0615510062142675,0.3208186519450153,11,0.0,0.0,0.9689143896102905,0.013633430004119873,0.013633430004119873,0.11854350566864014,0.0551944375038147,0.012513816356658936,0.7313740253448486,0.23041826486587524,0.0174521803855896,3353432,21.19899,0.19988012313842773,6227909,39.014795,0.37121230363845825,188800,8.182667,0.01125335693359375
8,16777216,16777216,5.30149879444496,90.15894562005997,32.60085048907013,10,240,15800166,1.0618379579049992,0.2794647074085261,100,0.0,0.0,0.9692228436470032,0.016190767288208008,0.016190767288208008,0.11696213483810425,0.06423836946487427,0.014482676982879639,0.7219086289405823,0.23853546380996704,0.014586389064788818,3553811,31.915189,0.21182364225387573,6957346,63.002486,0.41469013690948486,124650,10.263339,0.007429718971252441
9,16777216,16777216,5.503113158980597,95.38405126333237,37.60712400604364,10,240,15634580,1.0730838948024188,0.3481432880011166,344,0.0,0.0,0.9195724129676819,0.019610822200775146,0.019610822200775146,0.10163462162017822,0.07874643802642822,0.01787710189819336,0.6802260875701904,0.21105831861495972,0.06081676483154297,2942882,25.404418,0.1754094362258911,5610367,36.396905,0.334403932094574,305383,10.467042,0.018202245235443115
